break_id,dimension,problem,rule,status,evidence
mixed_buyback_not_series_allocable,instrument,Buyback totals mix BODEN with other securities and GDP units.,Treat tender totals as non-additive controls until instrument-level awards are recovered.,FROZEN,CGN SDP 2008 p.64
scoped_narrative_absence_not_zero,source,A program phrase may be absent from Anexo J while series service appears in the debt table.,Record only a scoped absence; do not infer zero activity.,FROZEN,CGN SDP 2010-2012
maturity_zero_not_holder_reconciliation,scope,"A zero closing stock proves series maturity, not who received service.",Keep holder and purpose allocation open after maturity.,FROZEN,"CGN SDP 2012 pp.5, 41-42"
agn_aggregate_holder_not_boden,universe,AGN creditor shares cover total public debt rather than BODEN 2012.,Use them as aggregate context only and do not equate private sector with banks.,FROZEN,AGN Res. 202/2009 pp.16-17
fgs_duplicate_not_treasury_flow,accounting,A duplicated FGS inventory presentation changes reported holdings without a Treasury flow.,"Record the exception as a public-holder control correction, non-additive to issuance and service.",FROZEN,AGN Res. 102/2011 p.37
transparency_route_not_holder_register,source,AGN transparency confirms reports were identified for consultation but does not itself expose a holder register.,Use the route to continue resolution/actuación retrieval; do not treat it as delivery evidence.,FROZEN,AGN transparency response dated 2018-09-11
offer_not_award,phase,A tender offer is not an award.,Keep received offers separate; a deserted tender realizes zero.,FROZEN,Official result 28-08-2008
participant_not_ultimate_holder,counterparty,Published tender participant may act for own account or submit for other investors.,Report the named participant and keep ultimate holder/beneficiary unidentified unless custody or order-level evidence closes it.,FROZEN,RC 212/2008-24/2008 Anexo 1.4-1.5; four result PDFs
award_not_settlement,phase,An award precedes delivery confirmation and BCRA-account payment.,Require Caja de Valores and BCRA confirmations before marking cash-settled.,FROZEN,RC 212/24 Annex 2.1-2.5
cutoff_reconstruction_requires_exact_fit,derivation,Participant awards are not printed as a separate table.,Derive only when accepted offers under the rule reproduce both published VNO and effective totals exactly.,FROZEN,Results 04-09-2008 and 11-09-2008
effective_currency_translation,valuation,Effective USD and effective ARS use tender-specific reference FX.,Preserve the published FX per tender and do not reuse it across dates.,FROZEN,Official result first pages
budget_credit_not_placement,phase,Budget expansion to register placements does not prove delivery or payment.,Keep the DNU as a qualitative residual-program control until annex/execution records are found.,FROZEN,DNU 1801/2009
strip_not_full_bond,instrument,A separately tradable coupon strip is not the full BODEN 2012 stock.,Track the 2009 strip authorization separately from full-bond awards and service.,FROZEN,RC 113/34 2009 arts. 1 and 3
mixed_buyback_program_not_instrument,universe,A program aggregate spanning several securities cannot be assigned to BODEN 2012.,Keep mixed first-stage amounts outside instrument subtotals until a trade blotter exists.,FROZEN,First-stage communiqués 11/08 and 22/08/2008
budget_execution_aggregate_not_instrument_flow,aggregation,"CGN buyback execution lacks species, channel and counterparties.",Use it as a non-additive ceiling/control and never add it to tender totals.,FROZEN,CGN Cuenta de Inversión 2008 comments
bna_mandate_not_trade_blotter,phase,An instruction to BNA does not identify executed trades.,"Require date, instrument, quantity, price and counterparty before allocating first-stage purchases.",FROZEN,Official communiqué 11/08/2008; BNA memory 2008
secondary_result_not_primary_settlement,source,A contemporary secondary tender summary does not replace the primary result or settlement confirmation.,Label every quantitative strip value secondary and keep amount basis and payment open.,FROZEN,Consejo IEC 298 p.5
creditor_sector_not_instrument_holder,universe,Broad debt creditor sectors do not identify holders of a specific instrument.,Do not convert private-sector share into bank share or BODEN ownership.,FROZEN,AGN Res. 84/2015 pp.25-26
program_aggregate_overlap,aggregation,"First-stage, public-tender and budget-execution aggregates may overlap.",Never add them without an accounting bridge that proves disjoint scope.,FROZEN,Official 2008 program carriers
official_purchase_language_not_post_settlement_confirmation,phase,A same-day result communiqué says a purchase was made but also schedules later settlement.,Keep the event at award/result status until post-settlement Caja/BCRA evidence is preserved.,FROZEN,Official tender results and RC 212/24
announced_ceiling_not_award_or_cash,phase,"Cada llamado fija un monto máximo hasta el cual comprar, no un compromiso ni desembolso.",Usar el techo sólo como denominador descriptivo; nunca sumarlo a adjudicaciones o ejecución.,FROZEN,Cuatro llamados oficiales 2008
archive_inventory_not_settlement_confirmation,source,"El archivo oficial enumera piezas publicadas, pero no certifica entrega Caja ni pago BCRA.",Cerrar la serie publicada y mantener abierta la liquidación y cualquier pieza no archivada.,FROZEN,Archivo de Finanzas · Recompras voluntarias
fiduciary_account_not_transfer_confirmation,phase,Identificar la cuenta Caja 0306/40000 no prueba que los títulos hayan ingresado.,Exigir confirmación Caja T+3 y asiento/pago BCRA antes de marcar cash-settled.,FROZEN,Cuatro llamados oficiales p.2; RC 212/24
strip_effective_not_underlying_vno,unit,El valor efectivo del cupón y el VNO del BODEN subyacente son bases distintas.,Conservar ambas columnas y no sumarlas ni sustituir una por otra.,FROZEN,Resultado primario strip 2009 y anexo
archival_capture_preserves_primary_provenance,source,Una captura archivada puede preservar el binario oficial aunque la URL institucional histórica deje de resolver.,"Registrar URL original, sello de captura, digest CDX y hash local; no degradar el documento a fuente secundaria.",FROZEN,ARCHIVAL_PROVENANCE_V152.csv
approximate_program_aggregate_not_exact_reconciliation,aggregation,Dos montos cercanos y conversiones por fecha no forman una conciliación contable exacta.,Usar la brecha sólo como control de orden de magnitud y mantener CONTROL_NOT_ADDITIVE.,FROZEN,Informe BCRA 4T2008 y puente V138
public_api_record_not_individual_response,source,"El nodo público reproduce metadatos y un resumen, no la respuesta individual ni sus adjuntos.",Usar el API para fijar esquema y omisiones públicas; requerir el expediente para conocer la respuesta enviada.,FROZEN,AGN API node 2074c3d9-a535-497e-a97d-d74340ff49fb
custodian_nonproduction_not_zero_holdings,inference,Que Caja/CNV no entreguen datos a AGN no implica tenencias cero ni inexistencia de registros.,Clasificar como barrera de acceso y mantener abiertos padrón y liquidación.,FROZEN,"Resolución AGN 41/2016 pp.20-21, 101"
custodian_audit_period_not_2008_transaction,time,"La auditoría cubre 2009-2013 y una nota de 2014, no las liquidaciones de 2008.","Usarla como control institucional de divulgación, no como prueba directa de cada operación.",FROZEN,Resolución AGN 41/2016
intrasector_discrepancy_not_buyback_allocation,aggregation,La diferencia DISP-DMO es para deuda intrasector agregada y vintages 2009-2014.,"Conservarla como control de fuente; no asignarla a BODEN, recompras, bancos o beneficiarios.",FROZEN,Resolución AGN 41/2016 p.19
pre_gde_record_not_gde_identifier,record_system,Una actuación de 2008-2009 es anterior a GDE y puede tener sólo identificador COMDOC; papel o sistema heredado.,Buscar primero el identificador original y luego toda migración; digitalización o cruce a GDE/GEDO/RUDO.,FROZEN,Consulta de expedientes del Ministerio de Economía; convenio GDE BNA 2022
reproduction_eligibility_not_destruction,retention,Que una norma permita reproducir un documento después de cierto plazo no acredita que el original haya sido destruido.,Pedir copia autenticada; soporte; actas y registro de reproducción; y acto concreto de destrucción si se invoca.,FROZEN,Texto ordenado BCRA sobre conservación y reproducción
retention_minimum_elapsed_not_proof_of_destruction,retention,El vencimiento de un plazo mínimo de conservación no demuestra que un registro haya sido eliminado.,Exigir serie; regla históricamente aplicable y acto o inventario individualizable de disposición.,FROZEN,Normas BCRA/CNV; Directriz AGN de Evaluación Documental
current_retention_rule_not_retroactive_2008,time,Una regla de retención publicada hoy no necesariamente regía ni se aplica retroactivamente a documentación de 2008.,Pedir la regla vigente para la serie y período objetivos; además de migraciones y disposiciones posteriores.,FROZEN,CNV Título VIII artículo 65; Comisión de Evaluación Documental
public_archive_date_scope_not_operational_search,source,Un archivo histórico público con fondo BCRA hasta 1991 no cubre registros operativos CRyL de 2008-2009.,Usar el alcance publicado como control negativo y exigir búsqueda en sistemas y archivos operativos internos.,FROZEN,Estado de fondos del Archivo de Documentos Históricos BCRA
repealed_archival_rule_not_current_duty,legal_time,Una norma archivística derogada no crea una obligación procedimental vigente aunque describa prácticas históricas.,Verificar vigencia artículo por artículo y fundar el pedido en la regla actual o en la traza concreta del documento.,FROZEN,Decreto 1131/2016 artículo 9; Resolución 44-E/2016
adjacent_debt_procedure_not_target_buyback_usage,scope,"Un procedimiento contemporáneo BOCON prueba áreas; sistemas y clases documentales disponibles, pero no que las recompras usaran esa misma ruta.",Usar TSA; COMDOC III; SIGADE y constancias como hipótesis de búsqueda y exigir confirmación de aplicabilidad.,FROZEN,Resolución Conjunta 216/2008 y 26/2008
record_schema_not_target_record,source,"Un diseño de archivo o formulario CRyL prueba campos y clases de registro, no que exista un registro para la operación objetivo.",Buscar CG1-CG7 y formularios 4359 por fecha; cuenta y especie; mantener liquidación abierta hasta obtener el asiento.,FROZEN,BCRA Comunicaciones B7971 y A3191
historical_regime_chain_not_target_modality,legal_time,Una cadena normativa aplicable puede conservar varias modalidades simultáneas sin identificar cuál se usó en una operación.,Reconstruir vigencia y luego exigir la instrucción; lote o asiento objetivo antes de asignar DVP; FTC; FT u otra modalidad.,FROZEN,BCRA A3191; A3253; A3621 y B9173
cga_validation_not_liquidation,phase,La validación satisfactoria de un archivo CGA sólo supera la primera etapa y queda condicionada a futura liquidación.,Exigir segunda etapa; CG3; débito/crédito o conciliación; nunca clasificar el acuse CGA como pago.,FROZEN,BCRA Comunicación B9173; Anexos II-III
cga_code_continuity_not_record_preservation,retention,Que CG1-CG7 y CGA sigan enumerados en 2012 no demuestra que los lotes de 2008-2009 hayan sido conservados o migrados.,Pedir repositorio; tabla de equivalencias; política de retención y búsqueda por lote/fecha; admitir respuesta negativa sólo si es reproducible.,FROZEN,BCRA Comunicaciones B9173 y B10469
procedure_silence_not_negative_use,inference,El procedimiento de recompra nombra Caja; cuenta BCRA y modalidad diferida pero omite siglas CRyL/DVP/FTC/TSA/SIGADE.,Registrar el silencio como brecha de identificación; no inferir ausencia de uso del sistema ni modalidad concreta.,FROZEN,Resoluciones Conjuntas 212/2008-24/2008 y 113/2009-34/2009
deferred_modality_not_tsa_channel,system,La modalidad diferida describe el tipo o programación de transferencia; TSA describe un canal de archivos que puede transportarla.,Mantener canal y modalidad en campos separados y exigir el registro objetivo antes de asignarlos a 2008.,FROZEN,CVSA Comunicado 10290; BYMA Instructivo NSC 2023
legacy_form_not_contemporaneous_2008_use,legal_time,"Los formularios F-33914.01 y F-33915.01 documentan un esquema de transferencia diferida en 2017, no su edición o uso en 2008.",Usarlos sólo como diccionario retrospectivo de campos y pedir la versión vigente o la tabla de equivalencias histórica.,FROZEN,CVSA F-33914.01 y F-33915.01; metadatos 2017-11-23
matching_fields_not_completed_target_transfer,phase,"La existencia de fecha de ejecución, límite de matching y contrapartes en un formulario vacío no prueba una instrucción emparejada ni ejecutada.","Exigir formulario completado, lote, estado de matching y asiento de recepción para cada fecha y especie.",FROZEN,CVSA F-33914.01 y F-33915.01
current_nsc_rule_not_historical_rule,legal_time,El Nuevo Sistema de Custodia eliminó en 2023 los tipos diferida e inmediata; esa regla nueva no describe automáticamente 2008.,Usar el cambio como corte metodológico y no retrotraerlo al período objetivo.,FROZEN,BYMA Instructivo de Liquidaciones NSC 2023
isin_not_cvsa_custody_code,identifier,"ISIN, código de negociación y código de custodia/CVSA son identificadores diferentes aunque señalen la misma especie.",Conservar cada columna y documentar el puente fuente por fuente; no reemplazar un identificador por otro.,FROZEN,CVSA Comunicado 10290; BYMA Instructivo NSC 2023
parent_security_code_not_strip_subspecies_code,identifier,El código del BODEN 2012 principal no identifica necesariamente la subespecie separada cupón 15 de 2009.,Usar 5326 para ARARGE03G415 y conservar 5426 sólo para el BODEN 2012 principal; no colapsar ambas especies.,RESOLVED_IDENTIFIER_LAYER_ONLY,Llamado strip 2009; Banco Columbia Anexo A; Banco Patagonia Exhibit A
bank_disclosure_identifier_not_target_settlement,phase,"Una tabla bancaria contemporánea puede identificar inequívocamente la especie sin documentar la entrega, recepción o liquidación de la recompra objetivo.","Aceptar la tabla para el puente de identificadores y mantener abiertos los asientos de Caja, el matching y el pago BCRA.",FROZEN,Banco Columbia 30/06/2009; Banco Patagonia 30/06/2009
near_contemporaneous_deferred_form_not_exact_2008_edition,legal_time,"La CNV prueba formularios numerados de Recepción Diferida en agosto de 2009, pero no identifica la revisión vigente durante las rondas de 2008.","Usar 2009 como práctica cercana y solicitar la revisión, vigencia o tabla de equivalencias exacta de 2008.",FROZEN,CNV Resolución 16.189 del 20/08/2009
manual_print_date_not_2008_effective_revision,legal_time,"La página legal fecha la edición del manual SLIQ en marzo de 2000, pero una fecha de impresión no acredita continuidad sin cambios hasta 2008.",Aceptar marzo de 2000 como fecha interna de la edición y mantener abierta la revisión efectiva en cada ronda de 2008.,FROZEN,"Manual Sistema de Transferencias Electrónicas, página PDF 2"
archived_system_listing_not_exact_2008_revision,legal_time,"La página institucional archivada en 2004 confirma la disponibilidad del Sistema de Transferencias Electrónicas y su documentación, pero no identifica la revisión aplicable en 2008.",Usarla para disponibilidad preobjetivo; exigir el control de cambios o registro maestro SLIQ/SCG para cerrar vigencia.,FROZEN,"Merval, Documentación de Sistemas Informáticos, captura 2004-02-08"
parallel_manual_revision_log_not_target_manual_vigency,document_control,"El manual MU-32002.03 conserva revisiones 2006/2007/2009 y fecha de vigencia, pero corresponde a la cuenta CVSA-DTC y no al sistema local SLIQ.","Usar su tabla como esquema de control documental exigible y no trasladar números, fechas ni vigencia al manual objetivo.",FROZEN,"Caja MU-32002.03, páginas PDF 3 y 22"
institutional_transfer_activity_not_target_settlement,phase,"La memoria de Caja muestra infraestructura y actividad/ingresos por transferencias antes de 2008 sin desagregar modalidad, cuenta, especie ni estado.","Tratarla sólo como contexto operativo preobjetivo y exigir instrucción, matching, asiento e informe T+3 para las rondas.",FROZEN,"Caja, Memoria y Estados Contables 2006, páginas PDF 20 y 44-45"
contemporaneous_caja_instruction_not_execution,phase,"Una comunicación contemporánea de Caja que ordena cuenta, modalidad, matching, plazo y cantidad total prueba el circuito instruido, no que la transferencia haya sido ejecutada.","Exigir instrucción individual, estado de matching, asiento y lote ejecutado para afirmar entrega o recepción.",FROZEN,"Caja Comunicados 4857, 4861, 4873 y 5152"
partial_round_communication_coverage_not_full_program,coverage,Las comunicaciones preservadas cubren tres de las cuatro rondas de 2008; que una consulta del archivo no devuelva la cuarta no prueba inexistencia ni falta de ejecución.,Declarar cobertura parcial y mantener abierta la comunicación equivalente de la licitación del 02/10/2008.,FROZEN,"Caja Comunicados 4857, 4861 y 4873; archivo institucional consultado para octubre de 2008"
t3_report_commitment_not_report_delivery,phase,"La fórmula 'Caja suministrará' fija fecha y contenido del informe T+3, pero no demuestra que el informe haya sido producido, entregado o recibido.","Exigir el informe T+3, su constancia de transmisión o una certificación institucional por ronda.",FROZEN,"Caja Comunicados 4857, 4861, 4873 y 5152"
document_footer_code_not_sliq_revision,document_control,"El código de pie OYM F.89023.00 identifica el formato de las comunicaciones, pero no acredita por sí solo la revisión del manual SLIQ/SCG vigente.",Conservarlo como clave documental y pedir por separado el registro maestro o control de cambios SLIQ/SCG.,FROZEN,"Pie común de Caja Comunicados 4857, 4861, 4873 y 5152"
current_public_archive_absence_not_historical_nonexistence,coverage,"Una consulta exhaustiva de la vista pública actual no cubre correspondencia interna, anexos, expedientes o registros retirados.",Formular sólo 'no figura en el archivo público actual' y mantener la búsqueda institucional de la cuarta comunicación.,FROZEN,Caja CA133_01/02; V138 public settlement exhaustion
aggregate_debt_reduction_not_per_round_settlement,phase,"Una reducción contable agregada exacta no identifica cada transferencia, matching, asiento de Caja o pago BCRA.",Elevar la realización sólo a baja contable agregada y mantener abiertos los registros por ronda/oferta.,FROZEN,Deuda Pública 2008Q3 A.5.1; AB133_Q3_BODEN
tender_vno_not_residual_debt_stock,unit,El VNO original adjudicado de bonos amortizantes no es directamente comparable con el principal residual que reduce el stock.,"Aplicar factores residuales 0,5 BODEN 2012 y 0,625 BODEN 2013 antes de conciliar.",FROZEN,"Resultados oficiales; Deuda Pública 2008Q3; exact identity 8.596,5+8.217,5=16.814 miles USD"
gdp_units_excluded_not_zero_or_unexecuted,scope,La nota que excluye GDP Units del cuadro no informa un valor cero ni revierte las adjudicaciones publicadas.,Conservar la exclusión como reconocimiento de alcance y exigir el registro específico de las unidades.,FROZEN_REINFORCED_BY_V152_CONTRACT_AND_Q4_FOOTNOTE,Prospectus S-25; Deuda Q4 A.5.1 B63/A.5.4 B62; report p.2
q4_exchange_bond_aggregate_not_target_tenders,aggregation,"El agregado Q4 de Bonos del Canje no trae especie, fecha, precio ni expediente que lo vincule con una modalidad concreta.","No asignarlo a primera etapa, cuatro rondas ni tenedores sin detalle de operaciones.",SUPERSEDED_BY_V152_CROSS_SOURCE_INSTRUMENT_BRIDGE,Deuda Q3/Q4 A.12.2; informe Decreto 1735/04 p.2; SIGADE Q3; bridge V138
q4_instrument_allocation_not_individual_settlement,phase,"La conciliación cruzada asigna la baja Q4 al Discount en Pesos agregado, pero no expone operaciones individuales.","Permitir la identificación de especie y tramo de referencia 2006; mantener abiertos fecha, vendedor, matching Caja y riel de pago.",FROZEN,E0_FISCAL_Q4_EXCHANGE_BOND_STOCK_MOVEMENTS_V152.csv; E0_FISCAL_Q4_DISCOUNT_PESOS_VALUATION_BRIDGE_V152.csv
vno_effective_value_accounting_reduction_nonadditive,unit,"VNO ARS 2.748,50m, valor efectivo ARS 1.415,50m y baja actualizada ARS 4.723,53619m son bases distintas.","No sumarlas ni intercambiarlas: VNO mide nominal adquirido, valor efectivo la consideración agregada reportada y la baja contable el stock actualizado eliminado.",FROZEN,Informe Decreto 1735/04 p.2; Deuda Q3/Q4 A.12.2 y A.5.1
gdp_notional_no_principal_stock,instrument,Las GDP Units usan monto nocional y no tienen pagos de principal.,"No exigir una fila de stock principal como condición de existencia; buscar recompra, cancelación y pagos contingentes por separado.",FROZEN,Prospectus Supplement S-25; Deuda Q4 A.5.1 B63/A.5.4 B62
gdp_reference_year_not_transaction_date,time,El año de referencia 2006 no es la fecha de compra.,Aplicar la regla contractual: cálculo 2007-11-01 y ventana calendario 2008; mantener el día individual abierto.,FROZEN,Prospectus Supplement S-19/S-69; report p.2
gdp_coupon_payment_not_repurchase_consideration,mechanism,El tercer cupón anunciado en 2008 corresponde al año de referencia 2007 y expresa importes por unidad.,"No usar esos importes como precio, efectivo agregado ni constancia de cancelación de la recompra referencia 2006.",FROZEN,Comunicado tercer cupón 2008 p.1; Prospectus Supplement
excess_payment_capacity_procedure_not_excess_gdp_transaction,mechanism,"La Resolución 115/323 regula excedente de capacidad de pago anual, mecanismo distinto del cinco por ciento de Excess GDP.","Usar su secuencia sólo como esquema de productores/campos; exigir documento específico antes de atribuir MAE, Caja T+3 o cuentas BCRA al evento objetivo.",FROZEN,Resolución Conjunta 115/2005 y 323/2005; Prospectus Supplement S-19/S-69
rounded_aggregate_minus_exact_awards,precision,Official acquired totals are printed to 0.01 million while tender awards are available to currency units/cents.,Carry a ±0.005m band per printed component; report shares to two decimals and never present the residual as exact to cents.,FROZEN,retrospective report p2; four official result PDFs
award_accounting_imputation_not_settlement,realization,"Award plus annual accounting attribution does not prove scheduled securities transfer, Treasury debit or CRyL cancellation.",Classify as awarded and imputed; keep Caja/BCRA/CRyL settlement states open.,FROZEN,CGN 2008 pp63-64; tender calls/results
arithmetic_residual_not_direct_trade,modality,"Official total minus recovered public awards is a remainder across transactions/channels, not a blotter.",Call it other-channel arithmetic residual unless an operation-level record allocates it to direct purchases.,FROZEN,MA129 allocation bridge
participant_concentration_not_beneficiary_hhi,concentration,Award shares by intermediary can concentrate even when underlying holders are dispersed.,Label HHI and CR values descriptive participant metrics only; prohibit market-power and beneficiary-concentration inference.,FROZEN,participant distribution V138; normative intermediary rule
account_directory_not_payment_credit,realization,"A contemporaneous BCRA account number identifies a possible rail, not an executed Treasury payment.",Require payment order plus BCRA debit/credit record reconciled to Caja T+3 confirmation.,FROZEN,B9322; RC 212/2008-24/2008 Anexo 2.1-2.5
bcra_account_directory_temporal_version,time,B9195 was superseded before the August-October 2008 tenders.,"Use B9322, updated to 04/08/2008, for target-date mapping; retain B9195 only as version control.",FROZEN,B9195; B9322 p1
agn_project_code_not_automatic_final_act_crosswalk,identity,"The final report/Act.41/Res.202 identity is now exact, while the internal code 48 0237/09 remains absent from final metadata.",Close final identity; describe project lineage as strong contextual bridge until an internal equivalence table is produced.,PARTIALLY_CLOSED_V152,AGN API UUID; Res.202/2009; Q2 tracker; report self-description
agn_aggregate_debt_decrease_not_buyback_settlement,aggregation,"AGN publishes all-debt increases and decreases, with an internal USD769m literal arithmetic tension, but no target transaction register.","Keep the figures aggregate, freeze the discrepancy and never allocate decreases to buybacks or banks without workpapers.",FROZEN,"AGN Res.202/2009 pp9,11"
annual_service_fee_not_buyback_specific_consideration,scope,"CGN lists annual Caja service fees and bank commissions without operation, ISIN, date or expediente allocation.",Use SIGADE/SIDIF as search keys only; require subledger reconciliation before attributing any amount to the buyback program.,FROZEN,CGN Cuenta de Inversión 2008 Anexo K p67
agn_final_identity_not_literal_project_code,identity,Exact final metadata does not print 48 0237/09.,Do not collapse final identity and internal project-code identity into one claim.,FROZEN,CX133_01_05
quarterly_resolution_not_public_activity_annex,document_scope,Q3/Q4 resolutions prove reports and magnetic annexes but public nodes expose only resolutions.,Treat annex existence as exact and annex contents/progress as open.,FROZEN,QT133_02_03
post_2008_dadp_process_not_2008_execution_record,time,The DADP manual formalized in 2015 and audit period 2016-2018 identify record classes after the target events.,"Use them to target records, never as retroactive proof of 2008 execution or retention.",FROZEN,"AGN 124/2022 pp14,25,26,75,78,79"
sidif_itemization_format_not_target_transaction,scope,Other years publish individual SIDIF/C-41 IDs for the same account families.,"Use comparators to demonstrate feasible format, not to allocate 2008 annual fees.",FROZEN,CGN 2004/2008/2010 Anexo K
official_exp_reference_not_public_exp_body,realization,The norm cites S01:0342455/2008 and custodians but the body is not public.,Separate existence/identity of the file from recovery of its contents and from execution.,FROZEN,RC 212/2008-24/2008; EX133_01_04
